company,added_modified,dollar_amount_float,moneyprize_received,donation_details,year,don_detail_amount,don_detail_txt,dollar_equivalent_amount
DRILLMEX,2012-01-23,500.0,Yes,Silver,2012,,silver,500.0
BMR OSTIGUY FRERES,2012-01-23,0.0,Yes,Power tools for raffle draw,2012,,power tools for raffle draw,0.0
COLDWATER,2012-01-23,500.0,Yes,K4K Friend,2012,,k4k friend,500.0
SUPERIOR ALLOY,2012-01-23,500.0,Yes,Silver,2012,,silver,500.0
GROUPE C G BEAULIEU,2012-01-28,200.0,Yes,1/4 page ad,2012,,1/4 page ad,200.0
CENTRE DENTAIRE ST LEONARD,2012-02-04,200.0,Yes,1/4 page ad,2012,,1/4 page ad,200.0
SOUDURE FLF INC,2012-02-09,200.0,Yes,,2012,,,200.0
STATION O KATAVENTURES,2012-02-12,0.0,Yes,3 double passes for Kayak adventure,2012,,3 double passes for kayak adventure,0.0
CORBEC,2012-02-13,9400.0,Yes,9400,2012,,,9400.0
DIRECTED ELECTRONICS,2012-02-14,1500.0,Yes,Corporate team - minimum of $1500,2012,1500.0,corporate team - minimum of ,1500.0
TUTINO EDWARDS JOSEPH,2012-02-14,100.0,Yes,business card,2012,,business card,100.0
ENERGIE CARDIO,2012-02-14,1500.0,No,3 month memberships + corporate team - they want tshirts to wear at their work,2012,,3 month memberships + corporate team - they want tshirts to wear at their work,1500.0
JAMES DAWSON,2012-02-16,1000.0,Yes,$1000 bronze,2012,1000.0, bronze,1000.0
PDF ENVIROSMART,2012-02-01,0.0,,11 banners,2012,,11 banners,0.0
LORELLE S COMPANY,2012-02-01,0.0,,"Book, ticket, poster design",2012,,"book, ticket, poster design",0.0
LES AUTOBUS BEAUREGARD,2012-02-18,100.0,Yes,business card,2012,,business card,100.0
SOURCE ID,2012-02-18,100.0,Yes,business card,2012,,business card,100.0
CAISSE DESJARDINS SAINT MATHIAS,2012-02-20,250.0,Yes,250,2012,,,250.0
RAILCON,2012-02-20,100.0,no,100,2012,,,100.0
LA CAGE AUX SPORTS DE MONT SAINT HILAIRE,2012-02-20,0.0,Yes,$200 in gift certificates,2012,200.0, in gift certificates,200.0
DELTA,2012-02-21,200.0,Yes,1/4 page ad,2012,,1/4 page ad,200.0
CHOCOLATERIE HEYEZ,2012-02-22,0.0,,door prize,2012,,door prize,0.0
TRANS HERB,2012-02-22,0.0,,prize,2012,,prize,0.0
MAPLE LEAF FOODS,2012-02-22,0.0,,food for Mt. Bruno,2012,,food for mt. bruno,0.0
SECOND CUP ST BRUNO,2012-02-22,0.0,,Coffee for Mt. Bruno,2012,,coffee for mt. bruno,0.0
TIM HORTONS ST BRUNO,2012-02-22,0.0,,Tim bits for Mt. Bruno,2012,,tim bits for mt. bruno,0.0
SPORTS EXCELLENCE ST BRUNO,2012-02-22,0.0,,prizes,2012,,prizes,0.0
ROGER BOURGIGNON,2012-02-22,0.0,,help,2012,,help,0.0
DANIEL BEAULIEU,2012-02-22,0.0,,help,2012,,help,0.0
LASSONDE,2012-02-22,0.0,,juices for St. Bruno,2012,,juices for st. bruno,0.0
SUN WAH,2012-02-22,100.0,Yes,$100 business card,2012,100.0, business card,100.0
DR MAURICE TAPIERO,2012-02-22,100.0,Yes,$100 business card,2012,100.0, business card,100.0
HARDLINE CURLING,2012-02-22,0.0,Yes,2 Carbon fibre brooms for incentive prizes + 12 gloves for each club,2012,,2 carbon fibre brooms for incentive prizes + 12 gloves for each club,0.0
GUT LABAT CHARTERED ACCOUNTANTS RICHARD GUT,2012-02-24,100.0,Yes,$100 business card,2012,100.0, business card,100.0
KELSON FINANCIAL KILBRANISH,2012-02-24,250.0,Yes,250,2012,,,250.0
LIBERTY PULTRUSIONS,2012-02-24,100.0,Yes,$100 business card,2012,100.0, business card,100.0
KRUGER,2012-02-24,100.0,Yes,business card,2012,,business card,100.0
FUTURE SHOP,2012-02-24,0.0,Yes,$100 gift card,2012,100.0, gift card,100.0
CITY OF DORVAL,2012-02-24,100.0,No,$100 business card,2012,100.0, business card,100.0
VILLE D OTTERBURN PARK,2012-02-24,100.0,No,$100 business card,2012,100.0, business card,100.0
RESTAURANT DA MANGIONE,2012-02-24,325.0,No,10 free pizzas $325 was raised (they get tax receipt),2012,325.0,10 free pizzas was raised (they get tax receipt),325.0
MOMENTS PHOTOGRAPHY,2012-02-24,0.0,,Promotional items,2012,,promotional items,0.0
MARVIN A DRIMER FOUNDATION,2012-02-26,1500.0,Yes,Corporate team - minimum of $1500,2012,1500.0,corporate team - minimum of ,1500.0
M L FORANDS COURTIERS D ASSURANCE,2012-02-27,200.0,Yes,$200 1/4 page ad,2012,200.0, 1/4 page ad,200.0
CGI,2012-02-27,0.0,,,2012,,,0.0
CP,2012-02-27,5000.0,Yes,$5000 Platinum,2012,5000.0, platinum,5000.0
CLARET ASSET MANAGEMENT CORP,2012-02-28,0.0,,,2012,,,0.0
BOVET,2012-02-28,500.0,Yes,$500 sponsorship,2012,500.0, sponsorship,500.0
PEERLESS ALVIN SEGAL FOUNDATION,2012-02-28,200.0,Yes,not sure yet - John to confirm $200 last year,2012,200.0,not sure yet - john to confirm last year,200.0
ERNEST,2012-02-28,0.0,no,500,2012,,,0.0
ENVIROMARK,2012-02-28,100.0,Yes,$100 business card,2012,100.0, business card,100.0
